fecha,banco,tco,tx,monto_usd,timestamp_utc
2026-07-02,MERCANTIL,9.72,193,938532,2026-07-05T15:37:47.904646+00:00
2026-07-02,PRODEM,9.48,8,4502,2026-07-05T15:37:47.904646+00:00
2026-07-02,PYME COM.,9.78,3,2262,2026-07-05T15:37:47.904646+00:00
2026-07-02,SOLIDARIO,9.77,37,431372,2026-07-05T15:37:47.904646+00:00
2026-07-02,UNIÓN,9.78,75,209115,2026-07-05T15:37:47.904646+00:00
2026-07-03,BCR,9.88,24,1465788,2026-07-05T21:40:16.435902+00:00
2026-07-03,BISA,9.84,51,2150476,2026-07-05T21:40:16.435902+00:00
2026-07-03,BNA,9.7,10,11336,2026-07-05T21:40:16.435902+00:00
2026-07-03,BNB,9.8,1075,2165993,2026-07-05T21:40:16.435902+00:00
2026-07-03,ECOFUTURO,9.4,5,3815,2026-07-05T21:40:16.435902+00:00
2026-07-03,ECONÓMICO,9.89,38,1754919,2026-07-05T21:40:16.435902+00:00
2026-07-03,FIE,9.7,8,761,2026-07-05T21:40:16.435902+00:00
2026-07-03,FORTALEZA,9.81,3,1133622,2026-07-05T21:40:16.435902+00:00
2026-07-03,GANADERO,9.81,569,8446426,2026-07-05T21:40:16.435902+00:00
2026-07-03,MERCANTIL,9.84,150,3817857,2026-07-05T21:40:16.435902+00:00
2026-07-03,PRODEM,9.7,7,18491,2026-07-05T21:40:16.435902+00:00
2026-07-03,PYME COM.,9.8,3,64,2026-07-05T21:40:16.435902+00:00
2026-07-03,SOLIDARIO,9.85,22,802413,2026-07-05T21:40:16.435902+00:00
2026-07-03,UNIÓN,9.8,83,318733,2026-07-05T21:40:16.435902+00:00
2026-07-06,BCR,9.93,12,1393544,2026-07-07T04:10:51.401430+00:00
2026-07-06,BISA,9.88,55,3646488,2026-07-07T04:10:51.401430+00:00
2026-07-06,BNA,9.8,30,17609,2026-07-07T04:10:51.401430+00:00
2026-07-06,BNB,9.8,172,153596,2026-07-07T04:10:51.401430+00:00
2026-07-06,ECOFUTURO,9.43,3,47414,2026-07-07T04:10:51.401430+00:00
2026-07-06,ECONÓMICO,9.89,28,1198507,2026-07-07T04:10:51.401430+00:00
2026-07-06,FIE,9.73,17,15603,2026-07-07T04:10:51.401430+00:00
2026-07-06,FORTALEZA,9.76,9,13299,2026-07-07T04:10:51.401430+00:00
2026-07-06,GANADERO,9.71,562,1696172,2026-07-07T04:10:51.401430+00:00
2026-07-06,MERCANTIL,10.0,212,2540863,2026-07-07T04:10:51.401430+00:00
2026-07-06,PRODEM,9.73,9,4406,2026-07-07T04:10:51.401430+00:00
2026-07-06,PYME COM.,9.83,4,7049,2026-07-07T04:10:51.401430+00:00
2026-07-06,SOLIDARIO,9.9,34,962170,2026-07-07T04:10:51.401430+00:00
2026-07-06,UNIÓN,9.83,64,180125,2026-07-07T04:10:51.401430+00:00
2026-07-07,BCR,9.91,20,818300,2026-07-08T03:34:57.712221+00:00
2026-07-07,BISA,9.97,65,5791895,2026-07-08T03:34:57.712221+00:00
2026-07-07,BNA,9.82,11,33464,2026-07-08T03:34:57.712221+00:00
2026-07-07,BNB,9.95,159,5858183,2026-07-08T03:34:57.712221+00:00
2026-07-07,ECOFUTURO,9.49,3,107,2026-07-08T03:34:57.712221+00:00
2026-07-07,ECONÓMICO,9.99,29,1336920,2026-07-08T03:34:57.712221+00:00
2026-07-07,FIE,9.79,25,14763,2026-07-08T03:34:57.712221+00:00
2026-07-07,FORTALEZA,9.89,2,200,2026-07-08T03:34:57.712221+00:00
2026-07-07,GANADERO,9.95,545,6275603,2026-07-08T03:34:57.712221+00:00
2026-07-07,MERCANTIL,10.01,141,1041185,2026-07-08T03:34:57.712221+00:00
2026-07-07,PRODEM,9.79,9,13867,2026-07-08T03:34:57.712221+00:00
2026-07-07,PYME COM.,9.89,1,2000,2026-07-08T03:34:57.712221+00:00
2026-07-07,SOLIDARIO,9.97,20,2513272,2026-07-08T03:34:57.712221+00:00
2026-07-07,UNIÓN,9.89,79,159336,2026-07-08T03:34:57.712221+00:00
2026-07-08,BCR,10.07,23,1264766,2026-07-09T04:05:12.353702+00:00
2026-07-08,BISA,10.09,85,3680119,2026-07-09T04:05:12.353702+00:00
2026-07-08,BNA,9.86,10,3320,2026-07-09T04:05:12.353702+00:00
2026-07-08,BNB,9.94,204,3606295,2026-07-09T04:05:12.353702+00:00
2026-07-08,ECOFUTURO,9.56,3,422,2026-07-09T04:05:12.353702+00:00
2026-07-08,ECONÓMICO,9.92,17,35333,2026-07-09T04:05:12.353702+00:00
2026-07-08,FIE,9.86,22,12445,2026-07-09T04:05:12.353702+00:00
2026-07-08,FORTALEZA,10.07,2,425000,2026-07-09T04:05:12.353702+00:00
2026-07-08,GANADERO,10.04,290,6582110,2026-07-09T04:05:12.353702+00:00
2026-07-08,MERCANTIL,10.21,162,11639754,2026-07-09T04:05:12.353702+00:00
2026-07-08,PRODEM,9.86,13,57246,2026-07-09T04:05:12.353702+00:00
2026-07-08,PYME COM.,9.96,3,1101,2026-07-09T04:05:12.353702+00:00
2026-07-08,SOLIDARIO,10.06,36,1099352,2026-07-09T04:05:12.353702+00:00
2026-07-08,UNIÓN,9.96,68,47994,2026-07-09T04:05:12.353702+00:00
2026-07-09,BCR,10.26,54,5187313,2026-07-10T04:04:26.513565+00:00
2026-07-09,BISA,10.23,50,3902015,2026-07-10T04:04:26.513565+00:00
2026-07-09,BNA,10.0,8,2932,2026-07-10T04:04:26.513565+00:00
2026-07-09,BNB,10.14,214,3667634,2026-07-10T04:04:26.513565+00:00
2026-07-09,ECOFUTURO,9.7,1,10,2026-07-10T04:04:26.513565+00:00
2026-07-09,ECONÓMICO,10.24,37,724752,2026-07-10T04:04:26.513565+00:00
2026-07-09,FIE,10.0,14,31651,2026-07-10T04:04:26.513565+00:00
2026-07-09,FORTALEZA,7.5,2,1814,2026-07-10T04:04:26.513565+00:00
2026-07-09,GANADERO,10.13,277,4104284,2026-07-10T04:04:26.513565+00:00
2026-07-09,MERCANTIL,10.28,133,9884451,2026-07-10T04:04:26.513565+00:00
2026-07-09,PRODEM,10.0,15,70219,2026-07-10T04:04:26.513565+00:00
2026-07-09,PYME COM.,10.1,4,570,2026-07-10T04:04:26.513565+00:00
2026-07-09,SOLIDARIO,10.38,41,2131145,2026-07-10T04:04:26.513565+00:00
2026-07-09,UNIÓN,10.1,80,59816,2026-07-10T04:04:26.513565+00:00
2026-07-10,BCR,10.57,34,5834653,2026-07-11T00:07:52.116915+00:00
2026-07-10,BISA,10.38,91,8250425,2026-07-11T00:07:52.116915+00:00
2026-07-10,BNA,10.18,16,5190,2026-07-11T00:07:52.116915+00:00
2026-07-10,BNB,10.24,225,10288924,2026-07-11T00:07:52.116915+00:00
2026-07-10,ECOFUTURO,9.84,2,112,2026-07-11T00:07:52.116915+00:00
2026-07-10,ECONÓMICO,10.54,30,3806369,2026-07-11T00:07:52.116915+00:00
2026-07-10,FIE,10.19,11,4985,2026-07-11T00:07:52.116915+00:00
2026-07-10,FORTALEZA,10.27,3,48871,2026-07-11T00:07:52.116915+00:00
2026-07-10,GANADERO,10.3,246,3484965,2026-07-11T00:07:52.116915+00:00
2026-07-10,MERCANTIL,10.33,209,800634,2026-07-11T00:07:52.116915+00:00
2026-07-10,PRODEM,10.14,9,3750,2026-07-11T00:07:52.116915+00:00
2026-07-10,PYME COM.,10.24,1,68,2026-07-11T00:07:52.116915+00:00
2026-07-10,SOLIDARIO,10.57,37,4015518,2026-07-11T00:07:52.116915+00:00
2026-07-10,UNIÓN,10.24,80,339509,2026-07-11T00:07:52.116915+00:00
2026-07-13,BCR,10.38,82,256829,2026-07-14T02:10:22.662671+00:00
2026-07-13,BISA,10.53,48,2289085,2026-07-14T02:10:22.662671+00:00
2026-07-13,BNA,10.35,16,2526,2026-07-14T02:10:22.662671+00:00
2026-07-13,BNB,10.34,242,442571,2026-07-14T02:10:22.662671+00:00
2026-07-13,ECOFUTURO,10.0,2,99,2026-07-14T02:10:22.662671+00:00
2026-07-13,ECONÓMICO,10.53,29,432291,2026-07-14T02:10:22.662671+00:00
2026-07-13,FIE,10.49,23,398680,2026-07-14T02:10:22.662671+00:00
